LOCATION,DATE,Interest_Rate
NLD,3/31/17,4.31
NLD,6/30/17,4.2
NLD,9/30/17,4.25
NLD,12/31/17,4.15
NLD,3/31/18,4.1
NLD,6/30/18,3.99
NLD,9/30/18,3.93
NLD,12/31/18,3.89
NLD,1/31/19,3.13
NLD,4/30/19,2.79
NLD,7/31/19,2.56
NLD,10/31/19,2.19
NLD,1/31/20,2.57
NLD,4/30/20,2.25
NLD,7/31/20,2.39
NLD,10/31/20,1.76
NLD,1/31/21,2.03
NLD,4/30/21,1.87
NLD,7/31/21,1.67
NLD,10/31/21,1.63
NLD,1/31/22,1.82
NLD,4/30/22,2.01
NLD,7/31/22,2.33
NLD,10/31/22,2.82
NLD,1/31/23,3.85
NLD,4/30/23,3.71
NLD,7/31/23,3.3
PRT,3/31/00,
PRT,6/30/00,
PRT,9/30/00,
PRT,12/31/00,
PRT,3/31/01,
PRT,6/30/01,
PRT,9/30/01,
PRT,12/31/01,
PRT,3/31/02,
PRT,6/30/02,
PRT,9/30/02,
PRT,12/31/02,
PRT,3/31/03,8.02
PRT,6/30/03,7.96
PRT,9/30/03,7.78
PRT,12/31/03,7.79
PRT,3/31/04,7.83
PRT,6/30/04,7.77
PRT,9/30/04,7.7
PRT,12/31/04,7.6
PRT,3/31/05,7.76
PRT,6/30/05,7.63
PRT,9/30/05,7.58
PRT,12/31/05,7.68
PRT,3/31/06,7.83
PRT,6/30/06,8.01
PRT,9/30/06,8.09
PRT,12/31/06,8.07
PRT,3/31/07,8.46
PRT,6/30/07,8.57
PRT,9/30/07,8.69
PRT,12/31/07,8.75
PRT,3/31/08,8.85
PRT,6/30/08,8.98
PRT,9/30/08,9.24
PRT,12/31/08,9.03
PRT,3/31/09,8.52
PRT,6/30/09,7.98
PRT,9/30/09,7.65
PRT,12/31/09,7.32
PRT,3/31/10,7.32
PRT,6/30/10,7.72
PRT,9/30/10,7.8
PRT,12/31/10,7.97
PRT,3/31/11,8.12
PRT,6/30/11,8.25
PRT,9/30/11,8.52
PRT,12/31/11,8.68
PRT,3/31/12,8.58
PRT,6/30/12,8.51
PRT,9/30/12,8.4
PRT,12/31/12,8.32
PRT,3/31/13,8.37
PRT,6/30/13,8.32
PRT,9/30/13,8.33
PRT,12/31/13,8.29
PRT,3/31/14,8.39
PRT,6/30/14,8.39
PRT,9/30/14,8.2
PRT,12/31/14,8.08
PRT,3/31/15,8.03
PRT,6/30/15,7.96
PRT,9/30/15,7.89
PRT,12/31/15,7.74
PRT,3/31/16,7.7
PRT,6/30/16,7.38
PRT,9/30/16,7.28
PRT,12/31/16,7.03
PRT,3/31/17,7.13
PRT,6/30/17,7.2
PRT,9/30/17,7.11
PRT,12/31/17,7.09
PRT,3/31/18,7.07
PRT,6/30/18,6.99
PRT,9/30/18,7.03
PRT,12/31/18,6.97
PRT,1/31/19,3.45
PRT,4/30/19,3.32
PRT,7/31/19,3.27
PRT,10/31/19,3.27
PRT,1/31/20,3.41
PRT,4/30/20,3.17
PRT,7/31/20,2.73
PRT,10/31/20,2.91
PRT,1/31/21,3.23
PRT,4/30/21,2.95
PRT,7/31/21,2.84
PRT,10/31/21,2.64
PRT,1/31/22,3.05
