LOCATION,TIME,TERMTRADE
CHE,2009,98.42391968
CHE,2010,98.88778473
CHE,2011,99.15207255
CHE,2012,99.0454154
CHE,2013,98.60441174
CHE,2014,98.56168425
CHE,2015,100
CHE,2016,97.69724785
CHE,2017,96.11179742
CHE,2018,95.80896923
CHE,2019,95.64074639
CHE,2020,92.67574038
CHE,2021,93.69448004
CHE,2022,94.51795575
TUR,1995,114.2337517
TUR,1996,106.9890971
TUR,1997,114.8993763
TUR,1998,113.2234132
TUR,1999,116.2427674
TUR,2000,105.5909309
TUR,2001,103.5232542
TUR,2002,106.2188706
TUR,2003,109.744229
TUR,2004,112.2250192
TUR,2005,111.7194804
TUR,2006,106.7823906
TUR,2007,108.6485695
TUR,2008,105.3485777
TUR,2009,106.5829448
TUR,2010,104.1570619
TUR,2011,96.79962768
TUR,2012,95.95006616
TUR,2013,98.14988088
TUR,2014,97.98625193
TUR,2015,100
TUR,2016,103.7640396
TUR,2017,97.8470866
TUR,2018,95.53364699
TUR,2019,94.61603122
TUR,2020,97.47681495
TUR,2021,89.03484755
TUR,2022,78.86002692
GBR,1995,88.38994722
GBR,1996,89.77309404
GBR,1997,88.13141765
GBR,1998,88.19548557
GBR,1999,89.54628557
GBR,2000,88.8679448
GBR,2001,89.92753382
GBR,2002,90.87522262
GBR,2003,91.47609481
GBR,2004,92.30495196
GBR,2005,92.80628506
GBR,2006,92.3830171
GBR,2007,91.92663662
GBR,2008,89.81093355
GBR,2009,92.92570557
GBR,2010,94.32639878
GBR,2011,93.35397516
GBR,2012,94.26867802
GBR,2013,95.69699864
GBR,2014,97.60655691
GBR,2015,100
GBR,2016,100.0964493
GBR,2017,98.77644284
GBR,2018,98.75335552
GBR,2019,99.41914873
GBR,2020,100.5538624
GBR,2021,99.10164577
GBR,2022,96.8527406
USA,1995,97.40706979
USA,1996,97.81775844
USA,1997,99.55366665
USA,1998,102.7285843
USA,1999,101.3485434
USA,2000,98.96817914
USA,2001,100.7995191
USA,2002,101.1347048
USA,2003,99.72568158
USA,2004,98.66290209
USA,2005,96.40615799
USA,2006,95.77128042
USA,2007,96.03494349
USA,2008,91.35807361
USA,2009,96.61696749
USA,2010,95.22528493
USA,2011,94.06325908
USA,2012,94.51751056
USA,2013,95.90766423
USA,2014,96.69345301
USA,2015,100
USA,2016,101.4655857
USA,2017,101.8708546
USA,2018,102.51374
USA,2019,103.6778315
USA,2020,103.3967518
USA,2021,107.3485371
CHL,1995,75.53631778
CHL,1996,65.69959334
CHL,1997,65.22812356
CHL,1998,62.59857017
CHL,1999,64.54261007
CHL,2000,66.07847914
CHL,2001,64.31665506
CHL,2002,64.40834758
CHL,2003,69.63596754
CHL,2004,83.06240591
CHL,2005,91.29158606
CHL,2006,113.8923899
CHL,2007,117.0140164
CHL,2008,95.84237038
CHL,2009,99.20847116
CHL,2010,115.7793764
CHL,2011,115.9250209
CHL,2012,109.2364078
CHL,2013,106.23927
CHL,2014,102.9368141
CHL,2015,100
CHL,2016,103.1177566
CHL,2017,112.0998845
CHL,2018,109.1842117
CHL,2019,107.2487842
CHL,2020,118.1157789
CHL,2021,132.1271921
CHL,2022,122.0088645
EST,1995,76.28810016
EST,1996,76.13668696
EST,1997,80.18602296
EST,1998,81.21364649
EST,1999,81.01815502
EST,2000,83.20525044
EST,2001,86.93871344
EST,2002,90.41497767
EST,2003,91.92251784
EST,2004,92.61715533
EST,2005,94.35721415
EST,2006,96.60120635
EST,2007,98.56160844
EST,2008,98.73535471
EST,2009,99.11792389
EST,2010,97.17804883
EST,2011,97.57476997
EST,2012,97.10912298
EST,2013,98.0266464
EST,2014,99.53439986
EST,2015,100
EST,2016,101.174556
EST,2017,101.0701312
EST,2018,102.2295985
EST,2019,101.8902196
EST,2020,102.2779195
EST,2021,102.5916132
EST,2022,103.2017166
IND,1995,118.4493937
IND,1996,108.4427792
IND,1997,125.2131544
IND,1998,128.8159726
IND,1999,115.196102
IND,2000,111.2342928
IND,2001,109.7730543
IND,2002,101.6382639
IND,2003,107.8578329
IND,2004,98.60436218
IND,2005,99.85119096
IND,2006,100.122272
IND,2007,100.1021191
IND,2008,105.5851379
IND,2009,103.8334999
IND,2010,106.1658187
IND,2011,105.3146627
IND,2012,103.9285643
IND,2013,100.9924308
IND,2014,98.96430766
IND,2015,100
IND,2016,101.5863877
IND,2017,106.6609349
IND,2018,101.8974274
IND,2019,109.2455103
IND,2020,115.6695794
IDN,1995,119.7664361
IDN,1996,122.1152137
IDN,1997,131.7453075
IDN,1998,138.9032509
IDN,1999,127.6512626
IDN,2000,125.9150367
IDN,2001,122.9335792
IDN,2002,116.3113179
IDN,2003,118.6442957
IDN,2004,117.5340376
IDN,2005,115.5613403
IDN,2006,122.010031
IDN,2007,117.3275442
IDN,2008,105.3795767
IDN,2009,107.5919524
IDN,2010,105.6509526
IDN,2011,107.7519578
IDN,2012,102.1260149
IDN,2013,98.22215863
IDN,2014,99.37391779
IDN,2015,100
IDN,2016,101.4698894
IDN,2017,101.7437001
IDN,2018,96.87972501
IDN,2019,92.78760538
IDN,2020,94.71297831
IDN,2021,103.0973198
IDN,2022,104.636947
ISR,1995,89.30134374
ISR,1996,91.5379984
ISR,1997,94.67264051
ISR,1998,97.44116031
ISR,1999,99.59045177
ISR,2000,97.13647314
ISR,2001,96.86765594
ISR,2002,96.59833845
ISR,2003,94.45102772
ISR,2004,92.0341084
ISR,2005,90.56200049
ISR,2006,89.77946333
ISR,2007,88.1558082
ISR,2008,86.11333643
ISR,2009,92.77042286
ISR,2010,90.84681632
ISR,2011,87.87908425
ISR,2012,90.264989
ISR,2013,92.11124743
ISR,2014,92.91235785
ISR,2015,100
ISR,2016,103.2992875
ISR,2017,103.4067222
ISR,2018,101.0956712
ISR,2019,105.8291083
ISR,2020,109.7936072
ISR,2021,112.3380182
ISR,2022,112.094228
RUS,1995,67.88355681
RUS,1996,69.94302056
RUS,1997,64.92733256
RUS,1998,60.97002237
RUS,1999,59.09489126
RUS,2000,79.32506278
RUS,2001,75.0894629
RUS,2002,73.80713935
RUS,2003,78.71449148
RUS,2004,91.28306598
RUS,2005,105.3956601
RUS,2006,116.869065
RUS,2007,121.0119551
RUS,2008,139.8674244
RUS,2009,98.16713113
RUS,2010,116.9820327
RUS,2011,141.3567309
RUS,2012,144.7878476
RUS,2013,136.3804134
RUS,2014,130.4139497
RUS,2015,100
RUS,2016,84.0710367
RUS,2017,94.22127945
RUS,2018,108.1404509
RUS,2019,102.3053281
SVN,1995,100.1362938
SVN,1996,101.7382147
SVN,1997,102.0996277
SVN,1998,103.0400173
SVN,1999,103.2732584
SVN,2000,100.0556861
SVN,2001,101.7811304
SVN,2002,103.7151237
SVN,2003,104.3598092
SVN,2004,103.1580102
SVN,2005,100.9604794
SVN,2006,100.4162582
SVN,2007,101.3309634
SVN,2008,100.0461403
SVN,2009,103.5070687
SVN,2010,99.3669675
SVN,2011,98.00628777
SVN,2012,96.96726418
SVN,2013,97.75290504
SVN,2014,98.74956696
SVN,2015,100
SVN,2016,100.8292864
SVN,2017,100.235994
SVN,2018,100.1703077
SVN,2019,100.7044991
SVN,2020,101.4313175
SVN,2021,99.31532979
SVN,2022,96.26737545
ZAF,1995,76.71141859
ZAF,1996,80.45848994
ZAF,1997,79.2654875
ZAF,1998,78.10996855
ZAF,1999,75.24358473
ZAF,2000,73.4751863
ZAF,2001,74.29428489
ZAF,2002,76.18247763
ZAF,2003,79.42086512
ZAF,2004,80.89408541
ZAF,2005,82.28756353
ZAF,2006,86.23872785
ZAF,2007,88.89777548
ZAF,2008,89.80667964
ZAF,2009,94.59755937
ZAF,2010,100.3440574
ZAF,2011,106.9760155
ZAF,2012,101.9758724
ZAF,2013,99.75249379
ZAF,2014,97.66445749
ZAF,2015,100
ZAF,2016,101.5810829
ZAF,2017,106.2091313
ZAF,2018,104.4191599
ZAF,2019,108.6073593
ZAF,2020,118.6160457
ZAF,2021,124.8813904
ZAF,2022,114.1066062
EA,1995,100.5167531
EA,1996,100.6090771
EA,1997,100.3374323
EA,1998,101.9705381
EA,1999,101.9463868
EA,2000,98.98264676
EA,2001,99.61863531
EA,2002,101.1015591
EA,2003,101.7836288
EA,2004,101.086547
EA,2005,100.0043512
EA,2006,98.73033382
EA,2007,99.17735101
EA,2008,97.81239544
EA,2009,100.8186148
EA,2010,98.67487159
EA,2011,96.61359019
EA,2012,96.14617008
EA,2013,97.02107084
EA,2014,97.83510822
EA,2015,100
EA,2016,101.1973813
EA,2017,100.301179
EA,2018,99.64737292
EA,2019,100.1579462
EA,2020,101.5252947
EA,2021,99.61035309
EA,2022,95.33099737
EU,1995,100.3103288
EU,1996,100.2830126
EU,1997,100.0019489
EU,1998,101.5300859
EU,1999,101.3777198
EU,2000,98.55309868
