DATE,Austria,Belgium,Germany,Estonia,Finland,France,Greece,Ireland,Netherlands,Bank interest rates - loans to corporations of up to EUR 0.25M with a floating rate and an IRF period of up to three months (new business) - Portugal (MIR.M.PT.B.A2A.D.R.2.2240.EUR.N),Slovenia 
9/30/22,2.78,2.53,2.41,3.26,5.15,2.24,5.32,5.16,2.46,3.52,2.78
10/31/22,3.39,2.83,3.04,3.99,4.8,2.53,5.77,5.51,2.82,4.26,3.5
11/30/22,3.64,3.32,3.49,4.19,5.41,2.6,6.09,5.63,3.09,4.15,3.56
12/31/22,3.97,3.62,3.81,4.42,5.14,2.86,6.14,5.62,3.35,4.5,3.87
1/31/23,4.39,3.89,4.72,4.51,5.13,3.11,6.37,5.71,3.85,4.91,4.34
2/28/23,4.83,4.23,5.03,5.04,5.76,3.01,6.48,5.94,4.33,5.08,4.66
3/31/23,4.98,4.58,5.4,5.34,5.46,3.43,6.91,6.06,4.3,5.52,4.34
4/30/23,5.29,4.79,5.49,5.51,5.6,3.55,7.02,6.08,3.71,5.55,4.48
5/31/23,5.52,4.98,5.62,6.41,5.9,3.41,7.09,6.21,3.67,6.16,4.73
6/30/23,5.48,5.19,5.77,6.22,5.83,3.63,5.5,7.57,3.78,6.46,4.85
7/31/23,5.79,5.28,7.06,6.43,5.98,3.77,5.86,6.21,3.3,6.48,5.13
8/31/23,6.06,5.43,6.31,6.94,6.01,3.5,5.68,6.12,2.69,6.79,5.04
9/30/23,6.04,5.6,6.29,6.87,6.48,3.56,5.76,6.11,2.77,6.53,5.3
