LOCATION,TIME,COMPEMPLOYEEACTY
EU,1996,53.4834004
EU,1997,53.03183155
EU,1998,52.61826915
EU,1999,53.05426663
EU,2000,53.00757203
EU,2001,52.68826346
EU,2002,52.67292193
EU,2003,52.61619832
EU,2004,51.90385368
EU,2005,51.81860362
EU,2006,51.40566847
EU,2007,50.99351704
EU,2008,51.76277185
EU,2009,53.20157052
EU,2010,52.68060045
EU,2011,52.41621407
EU,2012,52.77382343
EU,2013,52.80945456
EU,2014,52.69428862
EU,2015,52.24002884
EU,2016,52.51398222
EU,2017,52.53495837
EU,2018,52.95058364
EU,2019,53.09251629
EU,2020,54.15469464
EU,2021,53.0845595
EU,2022,52.06607368
GBR,1995,49.6592942
GBR,1996,48.6581821
GBR,1997,50.57042911
GBR,1998,50.87336948
GBR,1999,52.85707419
GBR,2000,53.82652415
GBR,2001,54.87427712
GBR,2002,54.0624181
GBR,2003,53.91934977
GBR,2004,54.88867198
GBR,2005,54.83536073
GBR,2006,55.14647488
GBR,2007,56.11944829
GBR,2008,55.18330845
GBR,2009,55.81267046
GBR,2010,55.67455692
GBR,2011,55.52740205
GBR,2012,54.8291014
GBR,2013,54.9065907
GBR,2014,53.88260626
GBR,2015,54.09624173
GBR,2016,54.18678823
GBR,2017,53.82347999
GBR,2018,54.26032227
GBR,2019,54.4938939
GBR,2020,57.69066422
GBR,2021,56.49035784
GBR,2022,55.26914619
CHE,1995,57.89376425
CHE,1996,57.55565913
CHE,1997,57.32261369
CHE,1998,56.83161172
CHE,1999,57.44947688
CHE,2000,56.93643678
CHE,2001,58.48416402
CHE,2002,60.14167467
CHE,2003,59.63840875
CHE,2004,58.47873927
CHE,2005,58.05697066
CHE,2006,56.75427398
CHE,2007,56.26941933
CHE,2008,56.5460953
CHE,2009,58.83274912
CHE,2010,57.34704404
CHE,2011,58.41426015
CHE,2012,59.03119433
CHE,2013,59.38170271
CHE,2014,59.30157905
CHE,2015,60.1450775
CHE,2016,59.90614792
CHE,2017,60.17971908
CHE,2018,59.22826051
