LOCATION,TIME,HHSAV
CAN,2020,13.85449201
CAN,2021,10.53830819
CAN,2022,5.77263751
CHN,1995,29.59613331
CHN,1996,30.84518822
CHN,1997,31.50189947
CHN,1998,31.659534
CHN,1999,28.79562899
CHN,2000,27.64044149
CHN,2001,27.58826959
CHN,2002,27.12596393
CHN,2003,29.29976132
CHN,2004,30.48357037
CHN,2005,30.83775541
CHN,2006,33.78838734
CHN,2007,35.48675454
CHN,2008,37.37243956
CHN,2009,37.65611223
CHN,2010,38.48403162
CHN,2011,38.02398407
CHN,2012,38.19101176
CHN,2013,37.82663506
CHN,2014,36.7714864
CHN,2015,35.73621511
CHN,2016,34.56692794
CHN,2017,34.44303533
CHN,2018,34.8198485
CHN,2019,34.78528105
LVA,1995,-39.75229911
LVA,1996,-33.62084442
LVA,1997,-15.85996076
LVA,1998,-18.76519039
LVA,1999,-20.39766274
LVA,2000,-9.764755324
LVA,2001,-10.01797784
LVA,2002,-9.398169784
LVA,2003,-7.825694411
LVA,2004,-6.245686389
LVA,2005,-5.229245815
LVA,2006,-9.338558699
LVA,2007,-9.880424218
LVA,2008,3.782588178
LVA,2009,6.407471224
LVA,2010,-1.872772211
LVA,2011,-9.525683837
LVA,2012,-9.895216014
LVA,2013,-13.95397751
LVA,2014,-9.764637087
LVA,2015,-5.753887588
LVA,2016,-4.144880984
LVA,2017,-3.197682226
LVA,2018,-1.625614358
LVA,2019,-0.034307886
LVA,2020,5.547090325
LVA,2021,1.940515319
LVA,2022,-7.227772198
CRI,2012,0.928948498
CRI,2013,1.605812989
CRI,2014,0.739921119
CRI,2015,1.722399037
CRI,2016,4.612577311
CRI,2017,4.659963731
CRI,2018,5.811623796
CRI,2019,6.932766345
LTU,2004,4.645705665
LTU,2005,-0.273625849
LTU,2006,0.932495137
LTU,2007,-8.817184525
LTU,2008,-4.660015428
LTU,2009,1.220687973
LTU,2010,4.334224397
LTU,2011,0.555531438
LTU,2012,-1.09547072
LTU,2013,-1.673995388
LTU,2014,-3.820326856
LTU,2015,-3.692447824
LTU,2016,-1.097571603
LTU,2017,-3.872182589
LTU,2018,-3.735525231
LTU,2019,1.098637406
LTU,2020,11.41632692
LTU,2021,7.552637955
LTU,2022,1.248095937
COL,2005,9.389235735
COL,2006,10.43211076
COL,2007,11.01313274
COL,2008,9.778878369
COL,2009,9.984714771
COL,2010,9.273194469
COL,2011,8.761792099
COL,2012,9.006719604
COL,2013,9.810664158
COL,2014,9.494185812
COL,2015,9.308825865
COL,2016,7.845983122
COL,2017,9.429998715
COL,2018,9.002259077
COL,2019,7.697160155
COL,2020,10.45186747
